PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
996	Unknown	514	5.318363	5.443641	5.566274	296.0717	4141.474609375	11779.9931640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.548885	298.9122:7776 299.25742:79505 300.26049:15402	
997	Unknown	514	5.308417	5.443641	5.566274	302.4201	4997.9267578125	14216.083984375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.126028	302.42009:7298	
998	Unknown	514	5.27817	5.443641	5.472016	311.9101	4616.12451171875	12415.1953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.55646	312.99122:7505 313.92955:18660 314.9039:12493	
999	Unknown	514	5.367227	5.443641	5.622813	314.9039	20305.0546875	92382.953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12.47435	314.9039:12493 318.97109:21843	
1000	Unknown	514	5.318363	5.443641	5.566274	317.0186	5871.671875	16701.359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.809209	318.97109:21843	
1001	Unknown	514	5.318363	5.443641	5.566274	335.5609	4821.171875	13713.322265625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.852799	336.89643:13928	
1002	Unknown	514	5.318363	5.443641	5.566274	349.2887	4983.11376953125	14173.94921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.761324	349.28865:6991	
1003	Unknown	514	5.173935	5.443641	5.490901	357.0604	161790.28125	1961088.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.09696	357.06043:45625	
1004	Unknown	515	5.328248	5.453112	5.575696	70.73858	4062.92431640625	11541.685546875	null	[M-H]-	M + 0	similar chromatogram in higher mz_1009; similar chromatogram in higher mz_1010; similar chromatogram in higher mz_1011; similar chromatogram in higher mz_1012; similar chromatogram in higher mz_1014; similar chromatogram in higher mz_1017; similar chromatogram in higher mz_1018; similar chromatogram in higher mz_1019; similar chromatogram in higher mz_1020; similar chromatogram in higher mz_1021; similar chromatogram in higher mz_1022; similar chromatogram in higher mz_1023; similar chromatogram in higher mz_1026; similar chromatogram in higher mz_1028	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.474506	71.01194:22054 71.01244:10598 72.96834:11166 72.99125:71442 72.99185:65254 73.02765:29922 74.02293:17954 74.02338:17747 74.9894:10068	
1005	Unknown	515	5.405608	5.453112	5.603951	73.36691	3890.0673828125	11465.69921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.700269	72.96834:11166 72.99125:71442 72.99185:65254 73.02765:29922 74.02293:17954 74.02338:17747 74.9894:10068 76.96821:147030	
