PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.005450914	0.126294	0.2968345	355.82	1440.26306152344	4567.580078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.924697	355.87257:2161 357.06155:2111	
1	Unknown	13	0.0862088	0.1363105	0.2666659	121.9294	6055.11279296875	28602.822265625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.040622	121.92937:2756 122.03144:4821 122.96637:76632 123.01893:1981 123.90082:364359 123.98785:5603 124.00045:9147 124.99807:53771 125.89886:61761 126.01885:2249 126.05458:3111 126.9034:5658	
2	Unknown	13	0.07618383	0.1363105	0.216435	177.8643	2559.01000976563	8462.921875	null	[M-H]-	M + 0	similar chromatogram in higher mz_3; similar chromatogram in higher mz_5; similar chromatogram in higher mz_6; similar chromatogram in higher mz_9; similar chromatogram in higher mz_11; similar chromatogram in higher mz_12	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.806073	177.86434:2014 178.02617:6559 179.0197:19742 180.00438:2635	
3	Unknown	13	0.005450914	0.1363105	0.2565931	179.2605	1255.83264160156	3773.70361328125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.11665	179.0197:19742 180.00438:2635 182.96305:579740 182.98771:6416 183.01165:7416 183.13807:2647 183.8968:29872 183.9663:7325	
4	Unknown	13	0.02604663	0.1363105	0.1863644	179.8604	3285.03955078125	12462.564453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.308846	180.00438:2635 182.96305:579740 182.98771:6416 183.01165:7416 183.13807:2647 183.8968:29872 183.9663:7325	
5	Unknown	13	0.005450914	0.1363105	0.2565931	190.2834	1066.55065917969	3204.92211914063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.33101	189.86308:8517 190.94244:1936 193.00812:4500 194.00965:2735 194.86313:8495 194.86764:1300958 194.87248:7920 194.90407:11092	
6	Unknown	13	0.005450914	0.1363105	0.2565931	211.3219	1239.48156738281	3724.5693359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.78963	210.86843:3813 211.13262:3731 212.0204:3741 212.07385:9933 212.83385:439952 213.01401:5530 213.18478:2427 213.83693:5010 213.93039:2301 214.8318:547572 214.93486:2364 215.8366:5961	
7	Unknown	13	0.005450914	0.1363105	0.1863644	212.5092	1198.88623046875	4211.4931640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.97772	212.0204:3741 212.07385:9933 212.83385:439952 213.01401:5530 213.18478:2427 213.83693:5010 213.93039:2301 214.8318:547572 214.93486:2364 215.8366:5961 216.82956:88776 217.00911:2932 217.10769:2592	
8	Unknown	13	0.03606948	0.1363105	0.1863644	217.8744	20836.056640625	137722.890625	null	[M-H]-	M + 0	similar chromatogram in higher mz_16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.72008	218.82702:16194 219.1743:45017 220.17762:4626 221.08063:3222 221.79914:32809	
9	Unknown	13	0.005450914	0.1363105	0.2565931	226.428	1009.64434814453	3033.92211914063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.19289	226.87223:6392 227.79313:3115 228.83453:3610 228.86983:5433 228.9306:43163 229.0703:2087 230.85192:3667 230.98506:6781	
10	Unknown	13	0.005450914	0.1363105	0.1863644	228.0616	3005.609375	11176.38671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.890879	227.79313:3115 228.83453:3610 228.86983:5433 228.9306:43163 229.0703:2087 230.85192:3667 230.98506:6781 232.76301:6183 232.85047:8166	
