PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	11	0.06612741	0.1162312	0.1463227	307.7602	69095.328125	324128.15625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.030573	307.76017:15407 308.8044:2069 310.73268:6366 312.73021:5465	
1	Unknown	12	0.005433994	0.1262687	0.2767844	71.13864	1890.60241699219	5685.31201171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.381904	71.00969:2967 71.01026:3469 71.01218:10027 72.00734:15020 72.99143:19963 73.02782:45312 73.8477:1937 74.02303:12835 74.02358:17352 74.43781:2517 74.96794:2909 74.97895:2515 74.98618:19296 74.98919:3838 74.99135:2318 74.99312:3639 74.99373:2934 74.99504:3547 74.99651:2480 74.99783:11041 74.99897:6910 74.99959:7033 75.00051:5642 75.00105:2892 75.00205:4873 75.00305:12879 75.00367:18412 75.00459:8244 75.00582:22969 75.00621:114318 75.00729:17175790 75.00844:108804 75.01068:15858 75.01129:13835 75.01183:13027 75.01237:3183 75.01283:5729 75.01381:7394 75.01437:3028 75.01538:8760 75.01591:4065 75.01661:5176 75.01715:4465 75.01846:2912 75.01992:4685 75.02123:4198 75.02816:7962 75.02878:8119 75.04651:3072 75.0782:3000 75.09208:2481 76.01067:357560 76.01374:2284	
2	Unknown	12	0.07612313	0.1262687	0.1963785	302.7697	8215.6767578125	37873.234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.78968	302.76971:2704 303.76465:103135 304.76904:2935 304.80878:2369 305.76241:51823 307.76023:11906	
3	Unknown	13	0.005433994	0.1362831	0.2566115	90.20567	1599.150390625	4807.75390625	null	[M-H]-	M + 0	similar chromatogram in higher mz_4; similar chromatogram in higher mz_5	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	31.98301	89.93992:2263 91.02084:86781 91.03836:7058 91.03898:6858 92.01991:2277 93.00837:5997 93.03347:31147 94.02873:3628 94.97768:16261 94.97921:2125272 94.98086:11971 95.02379:5181	
4	Unknown	13	0.005433994	0.1362831	0.2566115	201.5089	1213.7568359375	3649.09033203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.27514	201.90527:2083 203.83359:155471 203.86823:1208871 203.87307:7289 204.86552:4940 204.87109:13372 204.91212:6772 205.15857:26235 205.83158:168239 205.86103:6171 205.86628:1088895 205.87154:4999	
5	Unknown	13	0.005433994	0.1362831	0.2566115	230.7655	1103.93029785156	3318.90307617188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.07861	230.85201:1937 230.98473:5495 232.9236:2212 233.15302:7322 233.91259:3717 235.16888:8432	
6	Unknown	13	0.02597138	0.1362831	0.1863558	303.0504	2994.02758789063	9642.203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.045547	303.05037:4159 303.76436:88856 305.76251:48201 307.76081:15748	
7	Unknown	13	0.08616681	0.1362831	0.357465	347.7921	5758.48486328125	39906.6875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.626389	347.88438:3702	
8	Unknown	13	0.08616681	0.1362831	0.206414	358.276	2938.52514648438	13879.1162109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.175289	358.27596:2990	
9	Unknown	14	0.01585061	0.1463227	0.2666948	92.2028	1078.22473144531	3240.74536132813	null	[M-H]-	M + 0	similar chromatogram in higher mz_10; similar chromatogram in higher mz_12; similar chromatogram in higher mz_14; similar chromatogram in higher mz_16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.56449	93.00772:4694 93.00847:2674 93.01634:3058 93.03346:34536 94.94903:2160 94.97767:11545 94.97921:2107522 94.98053:13254 94.98217:2657 94.98843:2831 94.99117:1999 94.99326:2079 95.02323:2875 95.024:4528 95.97862:24857 95.98464:3121 96.00787:104291 96.95901:4590 96.96782:17796 96.96863:20894 96.97634:23040 97.03943:3668	
