PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	11	0.04614092	0.1163425	0.4695193	305.7625	285727.71875	5758940	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	33.44624	305.76247:63464 306.76781:3645 306.80667:3369 307.75986:14506 310.73263:6407	
1	Unknown	13	0.005443249	0.1364069	0.2568208	193.2831	1407.17492675781	4230.90673828125	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_5; similar chromatogram in higher mz_6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	28.1435	194.86317:8545 194.86769:1207461 194.87252:5365 194.90446:24393 195.86391:3308 195.87041:4546 196.86125:8206 196.86585:1067016 196.87075:5926 196.93694:11783 197.8626:3617 197.86856:10688	
2	Unknown	13	0.005443249	0.1364069	0.2568208	260.5245	1015.1591796875	3052.24560546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.30318	263.86382:3544 265.14711:3028	
3	Unknown	13	0.1063342	0.1364069	0.4491237	298.7598	145254.90625	1971742.75	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	46.25869	298.75976:30604 298.79506:11536 298.91228:2814 301.76601:63202	
4	Unknown	13	0.05616375	0.1364069	0.2367209	311.8958	5278.01123046875	26797.076171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.304397	311.89579:2256 312.00946:2208 312.73015:7045 312.90071:2427 312.91318:5243 312.99195:6823 313.80898:18376 313.90852:6844 314.72781:6356 314.80859:2189 315.80795:20719	
5	Unknown	13	0.005443249	0.1364069	0.2568208	326.6323	1236.54821777344	3717.88891601563	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.73096	326.76949:3655 327.80217:2237 328.9041:1962 329.80058:2788	
6	Unknown	13	0.005443249	0.1364069	0.2668937	329.8006	3257.09106445313	10539.1171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	65.14182	329.80058:2788 332.80709:5710	
7	Unknown	13	0.08627813	0.1364069	0.2065795	347.7928	4685.2470703125	20817.14453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.317773	347.88508:2794	
8	Unknown	14	0.01590776	0.1464278	0.2668937	102.4119	2344.73706054688	7049.08203125	null	[M-H]-	M + 0	similar chromatogram in higher mz_12	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.314481	101.9799:27447 101.98759:4530 102.0185:4325 102.05479:11581 102.06286:4751 103.00482:3513 103.01377:228197 103.02614:2131 103.03346:2699 103.03544:5281 103.03681:15658 103.03866:3419557 103.04053:21634 103.04152:8490 103.0729:2921 103.99784:11914 104.04217:62293 104.99879:5077 105.01806:5776 105.93457:670557 105.98851:2737 107.04913:6475	
9	Unknown	14	0.0962989	0.1464278	0.2166439	183.5134	4820.47021484375	18586.607421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.338355	183.50422:2252 183.51336:2925 183.89684:32743 183.96635:7375 184.9373:2431 184.95982:89513 184.96653:36464 185.15368:5163 185.86698:16766 185.89463:13779 185.96286:2444 185.99293:4627 187.86499:16160	
10	Unknown	14	0.0962989	0.1464278	0.2166439	232.7635	4659.76416015625	20422.853515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.840801	233.15324:8059 233.84301:3019 234.87371:9463 235.16889:8787 235.95342:19114 235.99419:4503 236.87141:11266 236.95178:3619 237.12313:18390	
11	Unknown	14	0.06620951	0.1464278	0.2266605	261.9211	1353.39221191406	4068.76025390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.848247	261.92113:1942 263.86384:4586 265.14661:2134	
12	Unknown	14	0.0962989	0.1464278	0.2568208	269.8051	1264.11840820313	3800.37280273438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.822404	270.02483:3319 271.02826:2040 272.01707:2077 272.92137:10120 273.91638:5950 274.80003:12543	
13	Unknown	14	0.06620951	0.1464278	0.2065795	305.3021	4486.52734375	18486.14453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.15719	304.80938:4165 305.30213:2798 305.76219:64585 307.75991:16351	
14	Unknown	15	0.02602436	0.1564318	0.2769498	205.6115	1178.77807617188	3544.00244140625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.57556	205.15855:17354 205.83165:302071 205.8365:2201 205.86629:1034734 205.87011:8705 206.86908:12054 206.94864:9219 207.8288:64920 207.86422:129520 207.94359:4535 207.99871:19791 208.02512:43616 208.86749:3831 209.04412:13980 209.82596:9341	
15	Unknown	16	0.06620951	0.1664631	0.1965336	117.9364	178404.921875	1183531.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	17.47373	117.9273:6502 117.93036:11376 117.93641:32302 118.00311:8705 118.94986:1878 119.03358:5390 121.02817:132768 121.93609:2333 122.02331:3142	
16	Unknown	16	0.07623862	0.1664631	0.2970872	121.9361	2294.10278320313	11559.912109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.42176	121.93609:2333 122.02331:3142 122.96639:80269 123.90083:358179 123.98754:6613 124.00047:13334 124.03863:2506 124.99809:63196 125.05959:2696 125.89869:57309 126.90393:5504	
17	Unknown	16	0.005443249	0.1664631	0.2166439	193.8157	1192.13354492188	3853.35400390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.84267	194.00968:5925 194.86058:2539 194.86316:7379 194.86768:1135893 194.87251:8104 194.90509:19042 194.92639:4609 195.87171:8470 196.86125:8041 196.86583:1007714 196.87075:6031 196.93758:7562 197.86866:10269	
18	Unknown	16	0.0962989	0.1664631	0.2367209	206.8694	90927.2421875	724259.375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.361831	206.83485:2151 206.86271:3916 206.86942:16895 206.94846:5274 207.82914:75558 207.86409:130063 207.94428:7184 207.99869:22273 208.02537:35272 208.86711:4645 209.0021:2895 209.04438:10406 209.82672:10946 210.86882:3590 210.91639:3398	
19	Unknown	16	0.05616375	0.1664631	0.2266605	207.8642	597597.25	5668164.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.04616	207.82914:75558 207.86409:130063 207.94428:7184 207.99869:22273 208.02537:35272 208.86711:4645 209.0021:2895 209.04438:10406 209.82672:10946 210.86882:3590 210.91639:3398 212.0203:10409 212.07388:13247 212.83389:474453	
20	Unknown	16	0.03609723	0.1664631	0.2870039	220.4848	1175.42321777344	3534.69482421875	null	[M-H]-	M + 0	similar chromatogram in higher mz_23	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.50846	220.17742:12727 221.79871:20211 221.86028:1945 223.02343:1896 223.03607:14266 223.79747:33144 224.87671:44782 224.9291:3144	
21	Unknown	16	0.04614092	0.1664631	0.8495209	294.7988	799147.625	20707736	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	270.1807	294.76401:201585 294.79881:220340 294.90283:27107 295.76819:2568 295.80257:4722 296.76206:132394 296.79734:63344 296.93137:2467 298.75975:27975 298.79473:10485	
22	Unknown	16	0.02602436	0.1664631	0.8495209	296.7973	325897.28125	9053748	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	183.1682	296.76206:132394 296.79734:63344 296.93137:2467 298.75975:27975 298.79473:10485 300.75839:4897 301.7659:63473	
23	Unknown	16	0.1163425	0.1664631	0.2568208	308.8024	5501.28125	22189.759765625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.064084	308.80241:3338 310.73196:2366 311.89643:1906 312.73014:10837 312.91251:3195	
24	Unknown	17	0.06620951	0.1764796	0.9595765	203.8682	4709037	148196336	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	145.4133	203.83361:224572 203.86303:9835 203.8682:1191102 203.87304:7541 204.86444:6312 204.87105:13018 205.15854:19341 205.83158:273056 205.86135:6993 205.86625:1072867 205.87291:3416 206.16215:3248 206.86308:4616 206.86869:14220 206.91:2405 206.94862:8526 207.82879:50164 207.86406:138119 207.94361:7246 207.99905:24042 208.02538:30770 208.86712:2720	
25	Unknown	17	0.1263842	0.1764796	0.2367209	210.8688	13319.400390625	73954.65625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.337109	210.86847:3256 211.13266:2753 212.02:8473 212.05559:2874 212.0737:15399 212.8339:482081 213.01406:3105 213.0771:2258 213.83697:5105 213.9308:3261 214.83187:493198 215.83627:2550	
26	Unknown	17	0.02602436	0.1764796	0.2166439	292.8009	554889.875	5751043.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	50.28286	292.7659:122002 292.80036:142461 293.17474:5260 293.80367:2344 294.76406:198314 294.79874:200700 294.90285:29936 296.7622:97412 296.79693:73554 297.04607:2546 297.80081:4766	
27	Unknown	17	0.04614092	0.1764796	0.2970872	307.3567	1102.00561523438	3314.8798828125	null	[M-H]-	M + 0	similar chromatogram in higher mz_23	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.04011	307.76019:18943 308.7664:1945 310.73198:5374	
28	Unknown	18	0.07623862	0.1865046	0.2970872	261.5867	1335.89379882813	4020.06176757813	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.71787	263.86385:2515 265.86269:5529	
29	Unknown	18	0.04614092	0.1865046	0.3071642	354.4395	1146.59204101563	3450.40234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.93184	357.06008:5526	
30	Unknown	19	0.05616375	0.1965336	0.3172245	204.1315	1272.70751953125	3831.82666015625	null	[M-H]-	M + 0	similar chromatogram in higher mz_32; similar chromatogram in higher mz_33	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.45415	203.83362:209145 203.86819:1135760 203.87305:7330 204.87068:18152 204.91209:6381 205.15855:22901 205.83155:208696 205.86136:5052 205.86624:994992 205.87117:4530 206.86909:16912 206.94884:6196 207.82916:45621 207.86406:111723 207.94353:7165 207.99871:20064 208.02539:36598 208.86749:2485 209.04441:18680	
31	Unknown	19	0.1564318	0.1965336	0.2467709	250.8165	6362.103515625	29998.814453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.830566	250.81648:2825 253.14409:3314 254.03083:2722 254.86385:12485 255.23185:35047	
32	Unknown	19	0.05616375	0.1965336	0.3172245	253.7665	1154.44055175781	3475.75219726563	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.08881	254.03083:2722 254.86385:12485 255.23185:35047 256.23606:3624 256.86163:9342 256.92559:2984	
33	Unknown	19	0.1364069	0.1965336	0.3273598	255.863	3331.35766601563	11738.0703125	null	[M-H]-	M + 0	similar chromatogram in higher mz_29	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.261933	256.23606:3624 256.86163:9342 256.92559:2984 258.91214:2436	
34	Unknown	19	0.05616375	0.1965336	0.3780241	293.898	1886.3271484375	10156.2705078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.511067	293.80488:4888 294.76405:165157 294.7987:151839 294.90226:20410 295.802:6152 296.76221:76858 296.79701:76967 297.79961:1993 298.75961:26948 298.79476:7851	
35	Unknown	20	0.06620951	0.2065795	1.041726	114.935	28510072	1134518272	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	253.3731	114.89531:4527 114.91576:2222 114.91722:2662 114.92569:2372 114.92744:3270 114.92876:3183 114.93036:5112 114.93109:6327 114.93285:29954 114.93504:7236742 114.93723:48484 114.9384:6149 114.93957:4279 114.94205:4966 114.9533:3832 114.97537:6442 114.99993:4978 115.00242:24295 115.03884:36899 115.07514:262752 115.93221:16577 115.93379:1877 115.93843:78000 116.0339:3514 116.04235:2150 116.07037:4152 116.07853:5250 116.8924:3409 116.89885:2102 116.91503:2168 116.92771:61835 116.93092:14215 116.93316:3368396 116.93542:19269 116.95821:6264 116.97456:2269 117.01792:12419 117.0547:5302 117.92715:6590 117.93065:4976 117.93672:28431 118.00326:10027 118.92526:2004 119.03405:3187	
36	Unknown	20	0.06620951	0.2065795	0.3273598	199.3116	1168.4296875	3519.447265625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.36859	198.86382:123180 198.95277:2473 199.16852:9162 200.94398:2036 203.83358:225593 203.8682:1221571 203.87303:8255	
