PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.06608991	0.1261833	0.2964509	71.45274	1582.75769042969	5902.94775390625	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_4; similar chromatogram in higher mz_7	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.647854	71.01208:7178 72.99185:17465 73.0278:26262 74.02338:12692 74.03192:3725 74.91961:2795 74.92292:3351 74.93553:2946 74.97892:3098 74.98601:18048 74.98662:4487 74.99001:3253 74.99378:4278 74.99532:3889 74.99594:3334 74.99686:3319 74.99763:5496 74.99863:2761 74.99925:5722 74.99979:4881 75.00048:2342 75.00272:5811 75.00356:5864 75.00557:27314 75.00726:18357644 75.00842:137124 75.00934:22506 75.01065:4192 75.01134:5554 75.01234:7065 75.01342:3416 75.01404:3814 75.01512:12024 75.0162:4455 75.01743:2698 75.01897:4564 75.01959:4577 75.02113:3055 75.0249:2738 75.02829:18286 75.03592:2591 75.04671:3436 75.04949:2745 75.07941:3113 75.09206:2328 75.09483:2861 75.78729:2247 76.01065:422964 76.01175:2848	
1	Unknown	12	0.09614393	0.1261833	0.2362263	289.795	77337.046875	620843.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.505328	289.79497:17920 292.76613:176414 292.80054:143447 293.17468:3902 293.80361:5996 294.76411:290827	
2	Unknown	13	0.00546533	0.1361832	0.2562678	218.6057	1287.75524902344	3865.09057617188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.7551	218.82694:16915 219.17401:65864 219.86923:5943 220.17724:7709 221.79926:34499 223.03604:7844	
3	Unknown	13	0.07612113	0.1361832	0.1961892	227.8784	3951.98852539063	18361.34375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.53493	227.79274:2329 228.83454:2200 228.86984:9196 228.93061:53994 230.98507:6806 232.03673:2306	
4	Unknown	13	0.00546533	0.1361832	0.2562678	302.5798	1168.36743164063	3506.7578125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.36735	303.76445:100798 304.76831:3552 304.8617:2725 305.76241:59638 306.76839:2217	
5	Unknown	13	0.0861377	0.1361832	0.1961892	310.7333	30609.0078125	174489.1875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.493008	310.73331:8536 310.87615:3722 312.72882:7598 312.99125:5539 313.80907:14007 313.90847:4310 313.92957:2861 314.72756:7448	
6	Unknown	13	0.06608991	0.1361832	0.1861975	310.7943	3520.482421875	18307.6796875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.5877	310.73331:8536 310.87615:3722 312.72882:7598 312.99125:5539 313.80907:14007 313.90847:4310 313.92957:2861 314.72756:7448	
7	Unknown	13	0.00546533	0.1361832	0.2562678	356.1083	1230.50476074219	3693.25805664063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.61009	357.05999:6502	
8	Unknown	14	0.1161855	0.1461998	0.2161952	234.7606	7136.82080078125	25963.2890625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	128.3524	234.76059:3708 234.87493:6275 234.93341:2428 235.16927:7027 235.95243:20222 236.87173:5872 237.12327:26083 238.87615:3124 239.13858:3271	
9	Unknown	14	0.00546533	0.1461998	0.2763447	243.5248	1704.49462890625	7982.5283203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	34.08989	243.87355:19221 245.87251:15937 247.87078:5115	
10	Unknown	14	0.09614393	0.1461998	0.2061765	252.8139	4421.43408203125	18365.751953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.889266	254.02931:2128 254.86377:14166 255.0723:2293 255.23195:33349 256.2352:7641 256.86156:11699	
11	Unknown	14	0.02604435	0.1461998	0.1761913	304.762	20942.314453125	153019.078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.14159	304.76198:2766 304.76955:5269 304.86104:2651 305.76239:51204 307.76011:20199 308.80235:2353	
12	Unknown	14	0.0861377	0.1461998	0.2061765	308.8023	3212.98315429688	12433.7236328125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.032869	308.80235:2353 310.73255:5014 312.73008:5590 312.99235:6951	
13	Unknown	14	0.01592571	0.1461998	0.2662886	327.5124	1418.95361328125	4258.0390625	null	[M-H]-	M + 0	similar chromatogram in higher mz_14	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	28.37907	327.80279:5375 328.78524:2078	
