PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.07607964	0.1261835	0.2163808	301.7662	295778.625	2360415	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	15.18199	301.76616:68209 303.7644:102921 305.76242:57053	
1	Unknown	13	0.0660568	0.1362043	0.2968199	135.0808	5472.2841796875	24829.345703125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.402684	134.86433:18011 134.93425:3662 135.04321:14999 135.9438:91090 136.01396:135013 136.86196:3224 136.99799:6731 137.01681:4355 137.0267:6769 137.90356:11127 137.93877:18682 138.01814:8303 139.90046:2682 139.90282:1914 139.93657:4905 140.03417:2715 140.07052:1963	
2	Unknown	13	0.005457196	0.1362043	0.2565597	185.7976	1155.83728027344	3473.05151367188	null	[M-H]-	M + 0	similar chromatogram in higher mz_3; similar chromatogram in higher mz_4; similar chromatogram in higher mz_5; similar chromatogram in higher mz_6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.11674	185.86696:38707 185.89491:14740 185.99291:5078 187.05973:3196 187.09613:4599 187.86496:27178 187.89183:5799 188.93471:2165 188.93809:61088 189.86309:2703	
3	Unknown	13	0.005457196	0.1362043	0.2565597	202.6827	1281.53833007813	3850.75708007813	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.63077	203.83331:412577 203.83989:2021 203.86784:999001 203.87302:8041 204.86442:2667 204.87103:11451 204.91206:5488 205.1581:22262 205.83158:467355 205.86622:902108 206.16213:3654 206.8627:5156 206.86905:7891	
4	Unknown	13	0.005457196	0.1362043	0.2565597	229.248	1036.423828125	3114.23901367188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.72848	228.83497:3630 228.87027:5471 228.93063:48301 228.98896:3548 230.85153:2662 230.98624:8055 231.02214:1821 232.76303:3735 233.15383:3557 233.91295:4748	
5	Unknown	13	0.005457196	0.1362043	0.2565597	350.2357	1225.45263671875	3682.23120117188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.50905	350.86913:2230	
6	Unknown	13	0.005457196	0.1362043	0.2565597	353.2525	1127.9375	3389.21826171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.55875		
7	Unknown	14	0.01589256	0.1462167	0.2666221	95.23344	1293.81665039063	3887.45751953125	null	[M-H]-	M + 0	similar chromatogram in higher mz_8	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.87633	94.97754:12526 94.97918:2134907 94.98072:14400 94.99148:2091 95.02398:2740 95.9789:44054 96.00773:95575 96.95831:2660 96.9685:29439 96.97628:28837 96.98367:2253 97.03896:2787 98.02291:8830 98.0236:8805 98.94752:3626 98.96565:8077 99.00753:5347 99.0413:3168 99.0434:5036 100.00276:41486	
8	Unknown	14	0.01589256	0.1462167	0.2666221	148.2181	1266.80932617188	3806.31030273438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.33619	147.96187:4933 149.023:2808 149.99305:12721 150.91941:17738 151.03838:7506 152.91746:8146	
9	Unknown	14	0.07607964	0.1462167	0.2163808	179.8622	3180.47241210938	11859.6923828125	null	[M-H]-	M + 0	similar chromatogram in higher mz_19	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.569754	179.86189:2591 180.0233:2338 180.87055:2996 182.96309:593015 182.98715:3599 183.0118:3063 183.89652:29987 183.96573:5012	
10	Unknown	14	0.0660568	0.1462167	0.1862852	302.7628	6844.23486328125	37842.44140625	null	[M-H]-	M + 1	isotope of 0	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	81.32546	303.76447:103978 304.76896:4143 305.7624:63985 306.80664:3454 307.75993:17288	
11	Unknown	14	0.09613787	0.1462167	0.2264099	321.7832	13718.076171875	77535.5234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.59134	321.78323:3614 323.80622:5937 324.77281:2096 325.8044:6552	
12	Unknown	14	0.0660568	0.1462167	0.3371404	350.8395	2610.27734375	8534.7763671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.545558	353.88625:2196	
13	Unknown	15	0.02600291	0.156227	0.2766512	72.35405	2163.078125	6499.73828125	null	[M-H]-	M + 0	similar chromatogram in higher mz_15; similar chromatogram in higher mz_16; similar chromatogram in higher mz_18; similar chromatogram in higher mz_21	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.606768	72.00726:13276 72.00788:5250 72.34792:1988 72.99141:24356 73.0278:60023 74.02331:10199 74.34862:2034 74.9017:2372 74.96784:2216 74.9861:19385 74.98693:3575 74.9897:6432 74.99248:4404 74.99309:2462 74.99648:4984 74.99771:7974 74.99833:4905 75.00172:4806 75.00295:3579 75.00487:12119 75.00611:93602 75.00726:19430896 75.00842:106398 75.00903:37214 75.00973:13085 75.01088:7479 75.01134:4819 75.01188:8288 75.01265:3510 75.01404:3001 75.01566:5404 75.0166:11241 75.01735:3009 75.01966:4420 75.02082:3555 75.02182:2962 75.02267:2264 75.02544:2614 75.02637:2577 75.02822:15593 75.02883:5364 75.03561:2721 75.05997:2171 75.09183:2924 75.44449:2741 76.01065:383675 76.0134:2681 76.96868:54656 76.98623:3023 76.98664:4571 77.01171:55125	
14	Unknown	15	0.0660568	0.156227	0.1963018	180.8703	13069.3330078125	80199.046875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.593588	180.95911:3570 181.20845:1926 182.96308:641861 182.98713:5471 183.01238:5189 183.10106:3225 183.89629:32857 183.96631:7094 184.95978:143355 184.96649:32668 185.08108:4283 185.11034:2622 185.86632:27717	
15	Unknown	15	0.02600291	0.156227	0.2766512	199.4969	1273.974609375	3828.11059570313	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.47949	199.06058:2573 199.09622:3145 199.13253:3550 199.16857:15372 201.11157:4743 203.83331:401736 203.863:6435 203.86785:1047528 203.873:6768	
