PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.07620952	0.1263447	0.296979	251.7796	2464.3466796875	11148.03515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.155357	251.77956:2646 252.83969:3338 254.86384:16384 255.07237:2114 255.23233:36900	
1	Unknown	13	0.08626784	0.1363509	0.1965047	141.8989	5733.09130859375	25770.5234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.648019	141.8989:4098 142.04993:4838 143.03197:3402 143.0342:4478 143.06991:6452 143.10644:45248 143.91425:5492 144.10952:4994 144.97429:100166 145.04901:2776 145.08527:2178 145.96991:3099 146.02324:18949	
2	Unknown	13	0.005455933	0.1363509	0.2567209	245.5963	1154.23974609375	3471.45288085938	null	[M-H]-	M + 0	similar chromatogram in higher mz_6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.08479	245.87211:21410 246.8758:2321 247.87037:4954 248.82024:3422 248.97225:25371 250.14293:2890	
3	Unknown	13	0.005455933	0.1363509	0.2165733	265.3202	3663.876953125	14562.986328125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.428838	265.32022:3244 265.8637:3460 270.02429:6220	
4	Unknown	13	0.08626784	0.1363509	0.9393725	285.7991	1425660.875	33978572	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	251.6927	285.79914:381527 286.8014:6944 287.7966:122943 288.80031:4129 289.79503:14767	
5	Unknown	13	0.08626784	0.1363509	0.296979	301.7662	301174.875	3545135.75	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.33708	301.76619:83128 303.76454:111833 304.7671:2128 305.76183:44411	
6	Unknown	13	0.005455933	0.1363509	0.2567209	340.5908	1329.41369628906	3998.30053710938	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.58827	343.79555:3553	
7	Unknown	13	0.0461515	0.1363509	0.2065483	347.7935	9701.6689453125	70776.5859375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.597515	347.88586:2965	
8	Unknown	14	0.01594537	0.1463945	0.2667562	121.9018	1137.18054199219	3420.4873046875	null	[M-H]-	M + 0	similar chromatogram in higher mz_11; similar chromatogram in higher mz_13	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.74361	122.0238:3127 122.03131:4735 122.96623:83083 123.04404:1973 123.90084:327293 123.98755:6033 123.99999:8563 124.00293:2120 124.03978:2262 124.99826:44815 125.0596:2214 125.89887:76757	
9	Unknown	14	0.06620755	0.1463945	0.2065483	205.8663	4101911	32771082	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.37671	205.82668:1929 205.83161:295570 205.86135:6243 205.86626:1046365 205.87151:6907 206.04603:3105 206.86273:3709 206.86908:11179 206.94848:6108 207.8295:47312 207.86407:128755 207.94369:10108 207.99906:22399 208.02538:35364 209.0444:7074	
