PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.07629786	0.1265143	0.2369426	137.9038	8488.4267578125	50557.390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.10643	137.93898:37167 138.01835:5165 138.90969:4538 139.93639:4161 139.97447:4292 140.9765:8093 141.05414:2476 141.09049:2957 141.93739:4328	
1	Unknown	13	0.005460916	0.1365226	0.2570258	151.8445	1193.77014160156	3589.98486328125	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_3; similar chromatogram in higher mz_5	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.8754	152.03437:4389 152.91794:5569 154.08666:4586 154.94108:28874 155.00033:2140	
2	Unknown	13	0.005460916	0.1365226	0.2570258	188.4811	1128.06896972656	3392.40405273438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.56138	188.93807:80530 192.90978:7073 193.00849:5331 193.0705:1921	
3	Unknown	13	0.005460916	0.1365226	0.2570258	247.4489	1145.26940917969	3444.13061523438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.90539	247.87039:2669 248.97207:13689 249.14819:2873 250.14341:3668 251.16348:2537	
4	Unknown	13	0.07629786	0.1365226	0.1967262	260.8364	4098.6083984375	15974.85546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.808622	260.8364:1990	
5	Unknown	13	0.06626668	0.1365226	0.2972443	308.8018	1194.34301757813	3591.7080078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.728177	309.75818:2643 310.87687:2825 312.73018:4535 312.99197:3539	
6	Unknown	13	0.08636655	0.1365226	0.226874	320.2897	2746.79614257813	9551.6640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.17724	320.28968:3438 320.89473:3012	
7	Unknown	13	0.07629786	0.1365226	0.1866513	336.8034	3807.287109375	14881.3671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	76.14574	336.80344:2097 337.90471:6553 339.1985:2642 339.90252:4842	
8	Unknown	14	0.02608996	0.1465537	0.2670904	199.4698	1125.81372070313	3385.80322265625	null	[M-H]-	M + 0	similar chromatogram in higher mz_11	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.51628	199.09625:2256 199.1686:15960 199.86725:1845 203.83335:61371 203.86303:6186 203.86825:1305982 203.872:11121	
9	Unknown	14	0.005460916	0.1465537	0.357919	229.8678	1220.64538574219	3671.00244140625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.714175	230.9847:6379 233.15362:8850 233.84215:1974	
