PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	11	0.005435397	0.1163576	0.2567858	216.3696	2812.96020507813	12217.826171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	56.2592	216.82925:93002 216.94476:2820 218.827:13089 219.17437:47840 219.87045:2350 220.17731:8940 220.9354:5201	
1	Unknown	12	0.005435397	0.1263991	0.2668462	220.8081	1375.12365722656	4137.03271484375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.169161	221.79958:19898 223.79709:29185 224.87674:41152 224.92912:1774 225.79397:11313	
2	Unknown	13	0.005435397	0.1364179	0.2567858	188.2242	1285.40698242188	3867.15405273438	null	[M-H]-	M + 0	similar chromatogram in higher mz_3	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.70814	187.865:12494 187.89126:2275 188.93814:72462 189.86282:2432 192.90998:4363 193.00819:2196	
3	Unknown	13	0.005435397	0.1364179	0.2567858	196.5695	1159.58520507813	3488.61865234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.1917	196.86095:4831 196.86589:959722 196.87045:5318 196.90124:1913 196.93728:6100 197.8623:2881 197.86821:10390 198.86348:113880 198.86997:2364 198.95246:2132 199.16853:10723 199.86727:4433 200.94029:3084 201.11163:2290	
4	Unknown	13	0.04616641	0.1364179	0.1965696	222.8624	4368.416015625	22807.8671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.320867	223.79711:22549 224.87675:49232 225.79426:13995 225.88008:3065 226.83665:2698 226.87158:14630 226.8745:16394 227.20044:5683 227.79239:2208	
5	Unknown	14	0.09631601	0.146449	0.2166653	238.8718	12174.2099609375	60283.83203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.60684	239.13878:10765 241.85061:4861 242.17513:15529	
6	Unknown	14	0.01591242	0.146449	0.2668462	239.7929	1143.69177246094	3440.8037109375	null	[M-H]-	M + 0	similar chromatogram in higher mz_7; similar chromatogram in higher mz_8	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.87383	241.85061:4861 242.17513:15529 243.87365:15898	
7	Unknown	14	0.01591242	0.146449	0.2668462	252.7215	1174.69555664063	3534.07885742188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.49391	254.83827:2249 254.86336:2285 255.23184:28771 256.23507:6759 256.86211:6307 256.92558:1939	
8	Unknown	14	0.01591242	0.146449	0.2668462	285.5244	1046.93286132813	3149.7041015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.93866	285.79901:305214 286.79564:3052 286.80198:6486 287.79651:118207 288.79973:3177 289.79504:11343	
9	Unknown	14	0.1063451	0.146449	0.1965696	300.7578	5544.744140625	23208.416015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.156915	300.75779:3670 301.76611:61484 303.76467:79509	
10	Unknown	14	0.09631601	0.146449	0.2066258	302.7703	4486.16650390625	21517.740234375	null	[M-H]-	M + 1	isotope of 50	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.439004	303.76467:79509 305.76247:44002 306.76781:3778 307.76019:13237	
11	Unknown	14	0.09631601	0.146449	0.2166653	343.7971	4905.2529296875	23955.806640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.630211	343.79632:2275 347.88356:3633	
12	Unknown	15	0.0260415	0.156501	0.2768752	145.4456	1189.36340332031	3577.89624023438	null	[M-H]-	M + 0	similar chromatogram in higher mz_19; similar chromatogram in higher mz_21; similar chromatogram in higher mz_15; similar chromatogram in higher mz_16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.965923	144.97425:97120 145.08507:2037 145.12216:4588 145.93333:2571 146.023:20769 146.96488:193309 147.02909:4313	
