PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.05620348	0.1263801	0.1564757	230.7655	4111.0068359375	14760.736328125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.570767	230.76548:2597 230.98528:7920 232.85022:5452 233.15348:7114 233.91253:2472 234.87368:9318 235.1693:6755	
1	Unknown	13	0.005453862	0.1364176	0.2569438	92.80904	1030.36181640625	3100.45288085938	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_3	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.60724	93.01643:5203 93.03357:37598 94.0286:3239 94.03692:1890 94.97798:12007 94.97919:2210499 94.98084:10464 94.98171:4098 95.02332:2242 95.02398:3671 95.97904:34061 95.98451:5571 96.00782:60481 96.95831:2026 96.9687:25180 96.97574:15419 96.98345:6167 97.02831:2367 97.03919:2581	
2	Unknown	13	0.005453862	0.1364176	0.2569438	188.5305	1029.71789550781	3098.51538085938	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.59436	188.93792:72456 189.86309:4727 191.10713:2094 193.00879:2768	
3	Unknown	13	0.005453862	0.1364176	0.2569438	191.3285	1201.71887207031	3616.08178710938	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.03438	191.10713:2094 193.00879:2768 194.00936:4526 194.86769:1156006 194.87219:6667 194.90445:8491 195.87061:11074 195.90421:2407	
4	Unknown	14	0.01592248	0.1464341	0.2670041	220.6646	1296.92468261719	3902.64599609375	null	[M-H]-	M + 0	similar chromatogram in higher mz_5; similar chromatogram in higher mz_10; similar chromatogram in higher mz_11	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.93849	220.17765:5573 221.79955:28410 221.86066:2076 223.03606:11124 223.79746:32378 224.87639:53395	
5	Unknown	14	0.01592248	0.1464341	0.2670041	244.7369	1324.51318359375	3985.6640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.49026	245.87217:21099 247.87128:5170 248.81789:2433 248.97213:20506 249.14862:2372	
6	Unknown	14	0.08625121	0.1464341	0.2670041	260.8369	2754.67163085938	9101.8681640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.112508	260.83686:1967 261.90752:2757 263.8638:2745	
7	Unknown	14	0.02607663	0.1464341	0.1966213	296.797	308155.65625	2926007.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	41.642	296.76217:110196 296.79703:72887 296.93135:2022 298.75974:24434 298.79467:8303 298.91225:2742 300.75837:3195 301.76604:64556	
8	Unknown	14	0.09628028	0.1464341	0.4291135	305.7623	269849.84375	4584221	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	37.72098	305.76231:69420 307.75997:16668 310.73195:3279	
9	Unknown	14	0.09628028	0.1464341	0.2067025	320.2903	3506.5966796875	12432.32421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.403273	319.89852:2068 320.29031:2895 322.77516:3647 323.80622:6698 324.77282:5416	
10	Unknown	14	0.01592248	0.1464341	0.2670041	328.5366	1206.05541992188	3629.20654296875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.12111	330.89332:2526 332.8085:4664	
11	Unknown	14	0.02607663	0.1464341	0.2670041	351.1233	2288.81274414063	6887.390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.1407	351.12331:2705	
12	Unknown	15	0.005453862	0.1564757	0.2569438	238.9261	5311.669921875	18677.8046875	null	[M-H]-	M + 0	similar chromatogram in higher mz_13	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.918641	239.1395:5257 241.21637:3436 241.85059:4569 243.8738:20069	
13	Unknown	15	0.02607663	0.1564757	0.2770479	351.2849	1201.07763671875	3614.84448242188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.02155		
14	Unknown	16	0.1163531	0.1664861	0.2871124	121.9299	2701.5185546875	12620.634765625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.323012	122.02332:4557 122.9664:65551 123.90086:323994 123.98722:5237 124.00048:7162 124.0388:2748 124.99794:52112 125.89874:60352 126.90394:5644	
15	Unknown	16	0.1163531	0.1664861	0.2268045	149.9442	3436.13159179688	13154.76953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.555061	149.94398:3000 149.99386:11593 150.91965:15017 150.96164:2931 151.03908:6804 152.03437:2979 152.91821:8375 153.09072:2981 154.08558:7237 154.94108:51256	
16	Unknown	16	0.02607663	0.1664861	0.2871124	195.5756	1418.26733398438	4270.16357421875	null	[M-H]-	M + 0	similar chromatogram in higher mz_12; similar chromatogram in higher mz_21	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	28.36535	195.87075:6182 196.86587:945515 196.86945:6479 197.86862:13266 198.86397:106090 199.13257:4300 199.16858:13170 199.86692:2087 200.00871:2029	
17	Unknown	16	0.1263801	0.1664861	0.2972373	212.8339	1747132.5	16803644	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.75786	212.83393:437986 213.01382:7214 213.83661:5885 214.83189:452492 215.83477:2842 215.83703:4154 216.82967:110589 216.94436:2918	
18	Unknown	16	0.1263801	0.1664861	0.2468939	232.7626	7066.24755859375	31345.771484375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.168542	232.76264:2705 232.85025:3094 232.92399:3400 233.15345:5288 233.84301:4463 233.91256:2436 234.87371:8920 234.93134:2236 235.16933:7792 235.95235:26516 235.99376:3132 236.87147:9010 237.12313:20667	
19	Unknown	16	0.1163531	0.1664861	0.2670041	295.761	18732.931640625	126198.3203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19.30351	295.76881:5017 295.8038:4596 296.76211:107895 296.79714:58566 297.79351:2221 297.80021:4757 297.91663:2546 298.75978:29659 298.79495:7550 298.91229:2454	
20	Unknown	16	0.1263801	0.1664861	0.2368585	303.7645	492485.6875	3093542.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19.28966	303.76445:100476 304.76837:3138 304.80875:3312 305.76247:56783 306.76717:3426 307.75985:13866	
21	Unknown	16	0.02607663	0.1664861	0.2871124	340.7131	1167.31408691406	3514.58569335938	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.34628	343.79632:3091	
22	Unknown	17	0.07623875	0.1765215	0.2167608	141.8999	4339.740234375	27209.904296875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.461493	141.93738:2524 142.04992:4510 143.01107:5091 143.03095:2768 143.03338:5099 143.10663:63289 144.10972:2102 144.97424:93694 145.05004:2805 145.9701:3205 145.99854:5893 146.02323:25204	
23	Unknown	17	0.03614734	0.1765215	0.3174976	182.5656	1312.48278808594	3953.89501953125	null	[M-H]-	M + 0	similar chromatogram in higher mz_25; similar chromatogram in higher mz_27	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.211065	182.92964:3297 182.96309:560067 182.96866:1979 182.98714:7006 183.89682:38740 183.96662:9606 184.00598:2333 184.95976:105344 184.96651:31668 185.0805:5909 185.11066:3513 185.15302:8349 185.86696:19491 185.89567:13626 185.96435:2882 185.99321:4872 185.99742:4315 187.09674:2965 187.13255:2010	
24	Unknown	17	0.1263801	0.1765215	0.2770479	183.8968	181368.84375	1487563	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.729807	183.89682:38740 183.96662:9606 184.00598:2333 184.95976:105344 184.96651:31668 185.0805:5909 185.11066:3513 185.15302:8349 185.86696:19491 185.89567:13626 185.96435:2882 185.99321:4872 185.99742:4315 187.09674:2965 187.13255:2010 187.86497:20961 187.89153:2843	
25	Unknown	17	0.03614734	0.1765215	0.2972373	198.3482	1120.65112304688	3375.99633789063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.41302	197.86846:9042 198.86365:108103 199.13288:3348 199.16881:10378 200.13586:2140 201.11261:3084	
26	Unknown	17	0.07623875	0.1765215	0.3276246	247.7829	3178.07958984375	13552.291015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.776864	247.87048:7494 248.97246:20287 250.14431:4720 250.81692:2872	
27	Unknown	17	0.03614734	0.1765215	0.2972373	290.7914	1317.30310058594	3968.41674804688	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.34606	290.90074:2027 292.76599:131690 292.8004:122741 293.17531:6319 293.80424:2559 294.76403:211901 294.79875:175327 294.9025:32555 295.76758:4436	
28	Unknown	17	0.08625121	0.1765215	0.2067025	302.7703	7721.1767578125	40074.01171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.775726	302.77026:2789 302.86336:2239 303.76439:134486 304.7696:3610 305.76212:56103 306.80409:3309 307.7608:14062	
29	Unknown	17	0.06622005	0.1765215	0.2268045	338.7138	2817.95458984375	9999.01953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	56.35909	338.71381:2313 339.90247:3195	
30	Unknown	18	0.046164	0.1865609	0.3276246	184.8997	1972.56970214844	6571.5185546875	null	[M-H]-	M + 1	isotope of 24	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.389007	184.93668:4945 184.96009:103702 184.96651:37362 185.15304:7410 185.86696:17977 185.8952:17603 185.96164:3929 185.99351:6362 185.99652:3204 186.89785:2240 186.93178:2791 187.86527:19512 187.89275:3426 188.93809:65419 189.86328:7280	
31	Unknown	18	0.08625121	0.1865609	0.5515335	203.873	4332821.5	97694808	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2628.117	203.83362:310136 203.86025:2362 203.86301:8118 203.86818:1130224 203.87302:6157 204.87103:14967 204.91172:3666 205.15852:20698 205.83157:358060 205.85853:2160 205.86133:6777 205.86623:998621 205.87043:5012 206.16143:2317 206.83449:3133 206.86313:8503 206.86941:17816 206.94846:8391 207.82948:71089 207.8643:111312 207.94357:8720 207.99868:19525 208.02536:33354 208.51679:1964 208.86746:3724 208.87032:2844	
