PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.07628008	0.126409	0.2366706	309.7582	6078.47802734375	36632.890625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.214764	309.75819:2845 311.16694:3016 312.72887:3205 312.88565:2732 312.99198:6903 313.80942:22459 313.90789:2470 314.72784:7019	
1	Unknown	13	0.005465962	0.1364401	0.2567247	87.72481	1220.404296875	3668.29467773438	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_4; similar chromatogram in higher mz_5; similar chromatogram in higher mz_6; similar chromatogram in higher mz_7; similar chromatogram in higher mz_8	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.40808	88.01103:14585 88.03856:7546 88.03915:15577 88.04669:2091 88.04728:2884 89.02332:15622 89.04251:48961 90.02623:4449 90.9697:2724 90.97042:2594 91.0208:167330 91.03866:8104 92.02042:4401	
2	Unknown	13	0.005465962	0.1364401	0.2567247	163.6366	1113.35217285156	3346.51733398438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.26704	165.01775:14452 165.9301:3010 166.05282:31619 166.95607:78580 166.99221:3082	
3	Unknown	13	0.1063736	0.1364401	0.2266437	177.8641	3243.69018554688	13781.4169921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.194574	178.87244:3411	
4	Unknown	13	0.005465962	0.1364401	0.2567247	270.5765	1263.14562988281	3796.76684570313	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.26291	271.34066:2418 272.88193:6080 272.92093:11154 273.91639:4404 274.79888:11341	
5	Unknown	13	0.005465962	0.1364401	0.2567247	282.5773	1121.45239257813	3370.86499023438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.42905	283.26238:18403 283.80051:220395 284.8038:6252 285.79851:344932 286.80198:6916	
6	Unknown	13	0.005465962	0.1364401	0.2567247	322.2869	2128.1328125	6396.748046875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.272485	322.2869:2743 323.80557:4648 325.80445:6080 327.14523:2189	
7	Unknown	13	0.005465962	0.1364401	0.2567247	338.3153	1289.517578125	3876.03564453125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.79035	337.90527:9265 339.90326:3203	
8	Unknown	13	0.005465962	0.1364401	0.2567247	338.4474	1219.05346679688	3664.23461914063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.38107	339.90326:3203	
9	Unknown	14	0.005465962	0.1464442	0.3776969	75.00728	78767120	1644541824	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12.23113	74.90141:2817 74.92263:2771 74.93432:2145 74.96817:3398 74.97618:2857 74.97803:2248 74.98612:21021 74.98819:3156 74.99219:2978 74.99311:3741 74.99373:2588 74.99496:2963 74.99743:8109 74.99804:10867 74.99958:6276 75.00058:5634 75.00143:6682 75.00205:4670 75.00336:13460 75.00397:7187 75.00497:15735 75.00613:96037 75.00728:20155500 75.00844:112201 75.00906:25464 75.01029:12531 75.01091:13114 75.01183:6406 75.01283:5507 75.0136:10137 75.01437:6369 75.01676:15830 75.01899:3481 75.01961:7088 75.02023:4997 75.023:2170 75.02816:13786 75.02878:8030 75.03564:2225 75.03872:2776 75.04612:2996 75.07943:3462 75.09486:3545 75.11307:2838 75.44483:2455 76.0106:384300 76.01154:4711 76.96867:53379 77.01116:22056 77.01174:35000	
10	Unknown	14	0.01592633	0.1464442	0.2667913	153.7988	1119.5498046875	3364.6982421875	null	[M-H]-	M + 0	similar chromatogram in higher mz_11; similar chromatogram in higher mz_12; similar chromatogram in higher mz_13	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.391	154.08599:6671 154.94087:31059 155.03352:2553 156.01107:3502 156.93869:12974 157.12205:75668 158.12511:4832	
11	Unknown	14	0.01592633	0.1464442	0.2667913	264.4217	1168.50183105469	3511.81884765625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.37004	265.86219:3460 269.24686:2056	
12	Unknown	14	0.01592633	0.1464442	0.2667913	307.6457	1078.35754394531	3240.89892578125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.56715	307.76011:10506 310.73137:2842 310.87624:2894	
13	Unknown	14	0.01592633	0.1464442	0.2667913	328.098	1208.90356445313	3633.24243164063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.17807	327.80292:4218 328.98266:2562	
14	Unknown	15	0.005465962	0.1564691	0.2969266	112.6053	1333.97692871094	4009.20556640625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.67954	112.60534:1904 112.98414:9984 113.02246:2237 113.0236:3665 114.01884:3138 114.89518:5792 114.9:2739 114.90117:3420 114.91738:3120 114.92746:3980 114.92863:3794 114.93155:11488 114.93491:6927996 114.9371:50314 114.93944:4759 114.94192:4687 114.94309:2045 114.94835:2214 114.95025:2059 114.95303:2842 114.97422:2248 114.97539:6044 115.00273:7518 115.03841:12787 115.07516:257490 115.93203:13397 115.93839:59032 116.03377:2725 116.89227:2893 116.89826:2202 116.92756:183205 116.92959:3210 116.93304:3226937 116.93529:22468 116.93843:2246 116.94023:2600 116.94143:2220 116.95163:1945 116.95824:7451 116.97443:2529 117.01836:9070 117.03925:2243 117.05442:6320	
15	Unknown	15	0.02604085	0.1564691	0.2768434	192.8265	1292.44567871094	3884.38525390625	null	[M-H]-	M + 0	similar chromatogram in higher mz_16; similar chromatogram in higher mz_17	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.84891	193.00787:3325 194.86771:1065360 194.87222:7233 194.90431:61854 195.87044:11063 195.90425:8600 196.86587:955943 196.87045:4228 196.93695:4630 197.00218:1883	
16	Unknown	15	0.02604085	0.1564691	0.2768434	207.2584	1153.16857910156	3465.79443359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.06337	206.86275:6567 206.8691:12037 206.94823:10766 207.82952:34845 207.86419:144737 207.9436:6138 208.86142:2276 208.8675:5785 209.82653:7898 211.13305:4376 212.07392:10587	
17	Unknown	15	0.02604085	0.1564691	0.2768434	239.6138	1168.58410644531	3512.12524414063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.37168	239.13866:6240 239.85233:1897 242.1756:11399 243.87401:14208	
18	Unknown	15	0.1063736	0.1564691	0.3070035	246.8708	3070.3291015625	12701.7705078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.414793	246.87077:2077 247.87133:4557 248.97205:8633 249.14867:2981 249.17012:2504 249.78122:2072 250.81603:3285	
19	Unknown	15	0.126409	0.1564691	0.2266437	248.8179	7355.24658203125	33064.28515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.196162	248.97205:8633 249.14867:2981 249.17012:2504 249.78122:2072 250.81603:3285 253.14363:3650	
20	Unknown	15	0.1163861	0.1564691	0.246706	250.816	7946.26220703125	36110.09375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.768318	250.81603:3285 253.14363:3650 254.86292:8821 255.23186:29935	
21	Unknown	15	0.02604085	0.1564691	0.2768434	348.5439	1095.32202148438	3291.93920898438	null	[M-2H]2-	M + 1	isotope of 27	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.90644		
22	Unknown	16	0.1063736	0.1664711	0.32717	230.7647	4140.5380859375	24408.609375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	82.81076	230.76469:2564 230.98472:6088 233.15319:9919 234.87373:4839 235.16935:7168	
23	Unknown	16	0.1163861	0.1664711	0.2166062	260.8364	2954.89013671875	10162.6171875	null	[M-2H]2-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.740956	260.83641:3690 260.92734:2081 263.86386:4687 265.14663:2186	
24	Unknown	16	0.03609706	0.1664711	0.2868661	266.3166	1960.7646484375	5893.6748046875	null	[M-H]-	M + 0	similar chromatogram in higher mz_27; similar chromatogram in higher mz_28	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.018611	266.31661:2505 270.34236:5123	
25	Unknown	16	0.1364401	0.1664711	0.2868661	280.7943	2442.0791015625	8553.5888671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.867914	280.79427:2410 280.98181:2148 281.24726:2775 283.26345:15842 283.80048:222915 284.79869:3216	
26	Unknown	16	0.005465962	0.1664711	0.2266437	299.7646	2096.478515625	10065.63671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.193743	299.76461:2559 301.7661:62156 302.76907:2075 303.7645:105050	
27	Unknown	16	0.03609706	0.1664711	0.2868661	348.029	1214.57531738281	3650.77563476563	null	[M-2H]2-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.29151	347.88435:3786	
28	Unknown	16	0.03609706	0.1664711	0.2868661	349.6567	1134.66528320313	3410.58178710938	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.69331		
29	Unknown	17	0.04616575	0.1765002	0.2969266	156.2373	1086.31555175781	3265.91821289063	null	[M-H]-	M + 0	similar chromatogram in higher mz_30; similar chromatogram in higher mz_31; similar chromatogram in higher mz_33; similar chromatogram in higher mz_35	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.72631	156.9389:10985 157.04945:4546 157.08563:10265 157.0966:1819 157.12195:92482 158.12488:5322 159.88593:6131 160.94781:3714 161.04396:2617	
30	Unknown	17	0.04616575	0.1765002	0.2969266	231.7144	1176.28491210938	3536.40380859375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.5257	233.15347:5142 233.84261:2323 234.87373:6403 235.16923:11841 235.95252:18967 235.99378:2227	
31	Unknown	17	0.04616575	0.1765002	0.2969266	254.6797	1100.04931640625	3307.20776367188	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.00099	254.86305:9013 255.23187:28693 256.2351:5263 256.86165:6181	
