PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.005428165	0.1260961	0.3167782	189.3257	1117.59484863281	3353.37548828125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.3519	188.93809:57359 189.86272:7759 190.95372:2125 193.00782:2130	
1	Unknown	13	0.02597176	0.1361085	0.2363307	115.5982	1242.1982421875	3727.7646484375	null	[M-H]-	M + 0	similar chromatogram in higher mz_2; similar chromatogram in higher mz_5	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.877093	115.9322:13071 115.93851:43677 116.03389:7925 116.07006:2567 116.07836:4372 116.89224:2763 116.89883:3118 116.92774:25596 116.93091:19479 116.93315:3038688 116.9348:22006 116.93825:3403 116.95816:7466 116.97439:2416 117.01821:14656 117.05439:4979 117.92972:5457 117.93625:15664 119.00093:1882 119.93747:2141	
2	Unknown	13	0.06606733	0.1361085	0.2162392	168.9603	4770.3828125	18122.990234375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.22359	168.96035:2426 169.01426:2225 169.09662:6954 169.84814:2747 170.08065:3615 170.08854:2033 171.13753:19969 171.95885:19557 172.95641:25831 173.95588:3124	
3	Unknown	13	0.09610052	0.1361085	0.3167782	280.7948	8708.1337890625	43038.21484375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.74941	280.79475:2264 282.90986:3297 283.26338:15357 283.80043:239305 284.26654:2793 284.80375:5059	
4	Unknown	13	0.1061191	0.1361085	0.2764659	298.7597	179959.015625	1553264	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.01548	298.75972:36117 298.79513:12406 298.91223:2321 300.75711:3522 300.90312:2381 301.76644:61021	
5	Unknown	13	0.005428165	0.1361085	0.256389	326.6112	1150.39440917969	3452.2666015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.00789	326.37969:1988 327.80212:3661 327.80916:1908	
6	Unknown	14	0.09610052	0.1461064	0.1961706	183.5136	3190.84130859375	11015.125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.594115	183.10106:3849 183.89622:29380 183.96631:6201 184.93726:3245 184.95981:105441 184.96649:34911 185.08018:1949 185.1175:3743 185.15302:8292 185.86694:40918 185.89459:8726 185.96192:4918 185.99319:4724 187.09612:5092 187.86525:34931 188.09137:2205	
7	Unknown	14	0.01587605	0.1461064	0.2664118	190.4663	1098.80078125	3298.22045898438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.97602	194.86152:4027 194.86766:1387365 194.87248:8286 194.90442:7589	
8	Unknown	14	0.1061191	0.1461064	0.2764659	230.765	10607.98828125	72996.1953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	175.4771	230.98465:6265 232.76301:3957 232.85019:6975 233.15339:4548 234.87346:13423 235.16927:6929	
9	Unknown	15	0.02597176	0.156098	0.2865075	74.80065	1124.810546875	3377.62866210938	null	[M-H]-	M + 0	similar chromatogram in higher mz_20; similar chromatogram in higher mz_16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.9317278	74.92292:3556 74.93645:2807 74.96815:3081 74.98578:9085 74.98639:8653 74.98909:5900 74.98994:4710 74.99094:3418 74.99155:2578 74.99248:4628 74.99309:4163 74.99463:3494 74.99764:8687 74.99825:4737 74.99941:8708 75.00041:6399 75.00114:7973 75.00226:5260 75.00287:6143 75.00426:13281 75.00518:15712 75.00611:97525 75.00727:19289486 75.00811:125588 75.00988:14235 75.01073:10097 75.0115:5968 75.01196:11280 75.01312:6032 75.01373:6774 75.01489:7770 75.0155:4628 75.01661:13813 75.01812:4009 75.01959:5027 75.02028:5592 75.02175:3245 75.02236:3207 75.02329:3594 75.0239:2283 75.02483:3033 75.02729:2286 75.02849:20176 75.03037:2204 75.09206:2807 75.09484:2678 76.01066:373113 76.01152:4714 76.01309:2074 76.96868:40643 77.0117:65209 78.95749:2747	
