PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
4018	Unknown	636	6.219971	6.279656	6.398905	287.1497	2498.41625976563	18366.22265625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.648974	287.14972:2299	
4019	Unknown	637	6.180315	6.289623	6.508096	342.0031	2592.22729492188	21909.5859375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.567217	343.12401:2363 343.99457:2200 345.2279:2299 346.98:3821 346.99456:5379	
4020	Unknown	639	6.160465	6.309546	6.428645	76.9466	3488.89672851563	29556.193359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.760308	76.96685:6825 76.96861:1591450 76.96974:11215 76.98631:19884 76.98687:12428 77.01275:2767 77.96783:11371 77.9684:11627 78.95767:98221 78.96516:9104 78.96574:11202 78.9848:2287 80.01051:31928 80.02375:2778 80.96253:5559 80.96374:725047 80.96495:5265 80.97367:2862 81.04413:10468 81.04475:15709	
4021	Unknown	640	6.06131	6.319485	6.40883	289.0555	2699.58642578125	19832.62109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.374577	288.94952:2617 293.17526:31518 293.21162:12055	
4022	Unknown	641	6.219971	6.329441	6.468334	220.8862	4028.01049804688	34991.44140625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.209513	221.00102:13616 221.08097:10071 222.06252:5092 223.02408:21117 223.13359:3654 224.02743:3910 224.12885:3815 225.07752:2644 225.08873:5795	
4023	Unknown	642	6.190167	6.33941	6.438568	125.096	3576.28051757813	27008.654296875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.158509	124.9826:13214 124.99768:2335 125.02304:4971 125.03414:15354 125.05918:2958 125.096:2205 126.00186:4750 126.0183:15199 126.02954:3836 126.05487:11375 126.9037:14294 127.0002:3034 127.01378:5757 127.03924:13098 127.05011:12923 127.07507:6867 128.00908:2297 128.03416:259400 128.07023:4082 128.9958:9664 129.01818:47790 129.02916:5411 129.03715:5450 129.05452:109925 129.09109:87459 130.0133:4103 130.03967:22942 130.08628:216868	
4024	Unknown	642	6.200102	6.33941	6.676447	301.2373	4963.20361328125	49970.33984375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.858356	301.21668:30825 301.23733:3841 302.1239:5007 302.22043:5206 305.01111:3072 306.05763:13945	
4025	Unknown	643	6.06131	6.349343	6.458413	167.0563	117094.1015625	2687235.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.93528	166.95685:13589 166.99252:50114 167.03412:4006 167.05651:26950 167.08174:2545 167.99606:4286 168.02653:6296 168.02886:3554 168.04878:15032 168.07664:5141 168.98796:2832 168.99811:3464 169.02417:3375 169.06065:3821 169.08574:11763 169.09732:47551 169.1227:5597 170.0812:29004 170.99006:3907 170.99564:11453 171.00528:25611 171.06511:27445 171.08421:4044 171.10165:156032 171.13806:108528	
4026	Unknown	644	6.160465	6.359282	6.547715	320.5391	1409.71459960938	7558.404296875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	28.19429	320.99483:7026 325.18431:8577	
4027	Unknown	645	6.279656	6.369216	6.478263	74.40678	1138.20764160156	7515.13671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.14948	74.0232:87008 75.00624:5023 75.00732:635440 76.01041:5737 76.96582:3660 76.9671:8093 76.96766:8129 76.96862:1634803 76.96974:7757 76.98632:7334 76.98688:11019 77.96792:10090 78.95769:229443 78.96516:15519 78.97282:3304	
